Oblast,age,kidsYoN,heaIns2600+,urHeaInsIncrease,heaInsCivServants,heaInsArmy,heaInsPolice,accessHeaPoor,heaInsPregnant,constVsRentInvest,constVsRentInvest2,constVsRentInvest3,municipalHousingSales,municipalHousingSales2,municipalHousingSales3,illegalHousing2,illegalHousing,illegalHousing3,freeMedicCare,skillsEduVsBusiness,vulnKidsEduMeasures,busSeatBG,busSeatTR,busSeatROMA,strHomeBG,strHomeTR,strHomeROMA,eatRestBG,eatResTR,eatResROMA,workplaceBG,workplaceTR,workplaceRoma,serveResBG,serveResTR,serveResROMA,rentBG,rentTR,rentROMA,friendsBG,friendsTR,friendsROMA,marryBG,marryTR,marryROMA,schoolROMAkids,schoolIMIGRkids,teacherTR,teacherROMA,doctorTR,doctorROMA,policeTR,policeROMA,bossTR,bossROMA,armyTR,armyROMA,prosecTR,prosecROMA,govminTR,govminROMA,spoinstrROMA,gender2,gender,monthBirth,yearBirth,familyStatus,education,edu,edu2,ethnicity,ethDetails,еmplStatus,industry,jobClass,job,hshldMembers,hshldU18,netHshldIncome,placeType,plType
София град,35,Нямам деца,Да,НП,Да,Да,Не,Да,НП,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),Не мога да преценя,Не мога да преценя,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,НП,Да,Да,Да,Да,Да,Да,НП,Да,Да,Да,НП,НП,Да,Да,Да,Да,Да,Mъж,Mъжe,9,1982,Неженен/неомъжена, Средно общо – гимназиално,Средно,Средно,Българска, , Работещ на постоянен трудов договор, Търговия,Административен и помощен персонал,управител на кафе,2,0, От 1500 до 1999 лв, Столица,Столица
София град,36,Нямам деца,НП,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Не мога да преценя,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",Не мога да преценя,Да,Да,Не,Не,Да,Не,Не,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Не,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Mъж,Mъжe,5,1981,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на граждански договор, Транспорт,Неквалифициран персонал,шофьор,3,0, Без отговор, Столица,Столица
София град,36,Нямам деца,Не,Не,Да,Да,Да,Не,НП,НП,не мога да преценя,не мога да преценя,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,НП,Не,Не,Да,Да,Не,Не,Да,Да,Да,Да,Да,Mъж,Mъжe,9,1981,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Търговия,Квалифициран персонал,Сервитьор,2,0, От 500 до 999 лв, Столица,Столица
София град,36,Нямам деца,Не,Не,Не,Не,Не,Да,Не,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,НП,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Не,Да,Да,Да,Да,Mъж,Mъжe,9,1981,Неженен/неомъжена," Висше – магистър, бакалавър",Висше,Висше,Българска, , Работещ на постоянен трудов договор," Спорт, изкуство",Експертен персонал без ръководни функции,физиотерапевт,2,0, Без отговор, Столица,Столица
София град,36,Нямам деца,Не,Не,Да,Да,Да,Да,Не,НП,не мога да преценя,не мога да преценя,да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,3,1982,Разделен/а," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор," Охрана, полиция, военно дело, пожарникари",Управленски персонал на средно ниво,пожарникар,2,0, Без отговор, Столица,Столица
София град,39,Нямам деца,Да,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,Не мога да преценя,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,НП,Не,Не,Не,Не,Mъж,Mъжe,10,1978,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор," Лека промишленост (текстилната, шивашката, кожарската и обувната промишленост, хранително-вкусова и др.)",Квалифициран персонал,готвач,1,0, Без отговор, Столица,Столица
София град,39,Нямам деца,Да,Да,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,1,1979,В брак," Висше – магистър, бакалавър",Висше,Висше,Българска, , Работещ на постоянен трудов договор, Здравеопазване,Експертен персонал без ръководни функции,фармацевт,3,0, От 1000 до 1499 лв, Столица,Столица
София град,40,Нямам деца,НП,Не,Да,Да,Да,НП,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Не мога да преценя,Не мога да преценя,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Да,Да,Да,Да,НП,Да,Не,Не,Не,Не,Да,Да,Да,Mъж,Mъжe,6,1977,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Търговия,Експертен персонал без ръководни функции,спедитор,2,0, Без отговор, Столица,Столица
София град,40,Нямам деца,НП,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища",не мога да преценя,не мога да преценя,не мога да преценя,Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Да,Не,Не,Не,НП,Да,Не,Не,Да,Да,Да,Да,Да,Mъж,Mъжe,3,1978,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Търговия,Квалифициран персонал,Технически,2,0, От 1000 до 1499 лв, Столица,Столица
София град,40,Нямам деца,НП,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища",не мога да преценя,не мога да преценя,не мога да преценя,Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,7,1977,"В съжителство, без брак"," Висше – магистър, бакалавър",Висше,Висше,Българска, , Работещ на постоянен трудов договор," Спорт, изкуство",Експертен персонал без ръководни функции,графичен дизайн,2,0, От 500 до 999 лв, Столица,Столица
София град,41,Нямам деца,НП,Не,НП,НП,НП,Да,НП,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",НП,не мога да преценя,не мога да преценя,"да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Не мога да преценя,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Да,Mъж,Mъжe,2,1977,Неженен/неомъжена, Висше – професионален бакалавър (специалист или полувисше),Висше,Висше,Българска, , Работещ на постоянен трудов договор, Търговия,Квалифициран персонал,касиер,3,0, От 500 до 999 лв, Столица,Столица
София град,41,Нямам деца,НП,Не,Да,Да,Да,НП,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),В образователната система,В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Не,Да,Да,Да,Да,Mъж,Mъжe,1,1977,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Строителство,Административен и помощен персонал,строителство,4,2, От 1500 до 1999 лв, Столица,Столица
София град,41,Нямам деца,Не,Не,Да,Да,Да,Не,НП,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",НП,не мога да преценя,не мога да преценя,"да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Не мога да преценя,В образователната система,Не мога да преценя,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Не,Не,Да,Не,Не,Да,Не,Не,Не,Не,Да,Не,Да,НП,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Mъж,Mъжe,7,1976,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Транспорт,Квалифициран персонал,шофьор,3,0, От 1000 до 1499 лв, Столица,Столица
София град,45,Нямам деца,Не,Не,Да,Да,Да,НП,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват",не мога да преценя,не мога да преценя,не мога да преценя,Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),В образователната система,В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Не,Да,Да,Да,Да,Да,Mъж,Mъжe,4,1972,Неженен/неомъжена," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор, Търговия,Административен и помощен персонал,електротехник,4,0, Без отговор, Столица,Столица
София град,46,Нямам деца,Не,Не,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да не се предоставят безплатни медицински грижи за лицата без здравни осигуровки (с изключение на спешната помощ),Не мога да преценя,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,НП,НП,НП,НП,НП,НП,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,2,1972,Неженен/неомъжена," Висше – магистър, бакалавър",Висше,Висше,Българска, , Работещ на постоянен трудов договор, Търговия,Експертен персонал без ръководни функции,управител,2,0, От 1500 до 1999 лв, Столица,Столица
София град,48,Нямам деца,Да,Да,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",НП,не мога да преценя,не мога да преценя,"да се разрушават годни за обитаване жилища,\nако са незаконно построени","да се разрушават годни за обитаване жилища, ако са незаконно построени","да се разрушават,  годни за обитаване жилища,  ако са незаконно построени",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,НП,Да,НП,НП,Да,Да,Не,Да,Да,Не,Да,НП,Не,Да,Не,Не,Да,Да,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Да,Не,НП,Не,Не,Не,Не,Не,Не,Mъж,Mъжe,5,1969,Неженен/неомъжена, Средно общо – гимназиално,Средно,Средно,Българска, , Работещ на постоянен трудов договор, Търговия и ремонт на техника,Управленски персонал на средно ниво,Депо техник,2,0, От 1000 до 1499 лв, Столица,Столица
София град,50,Нямам деца,Да,Не,Да,Да,Да,Да,Да,НП,не мога да преценя,не мога да преценя,да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,НП,Да,Не,НП,Да,Да,Да,Да,Не,Не,Да,Да,Не,НП,Да,Да,Не,Не,Да,НП,Не,Не,Не,Не,Не,Не,Да,Mъж,Mъжe,11,1967,Неженен/неомъжена," Висше – магистър, бакалавър",Висше,Висше,Българска, , Работещ на постоянен трудов договор, Търговия,Неквалифициран персонал,доставчик,1,0, От 500 до 999 лв, Столица,Столица
София град,51,Нямам деца,Да,Не,Да,Да,Да,Да,Да,НП,не мога да преценя,не мога да преценя,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,3,1967,"В съжителство, без брак"," Средно специално, техническо и СПТУ",Средно,Средно,Българска, , Работещ на постоянен трудов договор," Охрана, полиция, военно дело, пожарникари",Квалифициран персонал,охранител,2,0, От 2000 до 2499 лв, Столица,Столица
София град,51,Нямам деца,НП,Не,Да,Да,Да,Да,Да,НП,не мога да преценя,не мога да преценя,НП,не мога да преценя,не мога да преценя,"да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Не мога да преценя,Не мога да преценя,В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Да,Не,Не,Да,Не,Да,Да,Не,Да,Да,Не,Да,Да,Не,Да,Не,Не,Да,Да,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,НП,Не,Не,Не,Не,Не,Не,Не,Не,Не,Mъж,Mъжe,4,1966,Неженен/неомъжена, Висше –доктор,Висше,Висше,Българска, , Работещ на срочен трудов договор, Научноизследователска и педагогическа дейност,Квалифициран персонал,преподавател,2,0, Без отговор, Столица,Столица
София град,51,Нямам деца,Да,Да,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,да продължат да позволяват/насърчават наемателите на социални жилища да ги закупуват,"да позволяват/насърчават,  наемателите на социални,  жилища да ги закупуват","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,В образователната система,В контролни органи за налагане на финансови и други санкции срещу безотговорно отношение към образованието,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Mъж,Mъжe,9,1966,Неженен/неомъжена," Висше – магистър, бакалавър",Висше,Висше,Българска, , Безработен," Охрана, полиция, военно дело, пожарникари",Квалифициран персонал,авиотехник,3,0, От 1000 до 1499 лв, Столица,Столица
София град,52,Нямам деца,Не,Да,Да,Да,Да,Да,Да,в строеж и закупуване на жилища за социално слаби и останали без дом,в строеж и закупуване на жилища за социално слаби и останали без дом,"в строеж и закупуване на,  жилища за социално слаби,  и останали без дом",да прекратят продажбата на общински жилища,да прекратят продажбата на общински жилища,"да прекратят продажбата,  на общински жилища","да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",В учителите (квалификация и заплати) и в проекти за качествено образование,Да,Не,Не,Да,НП,НП,Да,Не,Не,Да,Не,Не,Да,Не,Не,Да,Не,Не,Да,Не,Не,Да,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Не,Mъж,Mъжe,6,1965,Неженен/неомъжена, Основно,Основно,Основно и по-ниско,Българска, , Работещ на постоянен трудов договор," Охрана, полиция, военно дело, пожарникари",Неквалифициран персонал,охранител,1,0, От 500 до 999 лв, Столица,Столица
София град,54,Нямам деца,Да,Не,Да,Да,Да,Да,Да,"да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите и останалите без дом с ваучери/пари за наем, вместо с жилища","да подпомагат социално слабите,  и останалите без дом,  с ваучери/пари за наем,  вместо с жилища",НП,не мога да преценя,не мога да преценя,"да се узаконят годните за обитаване незаконни жилища,\nако са единствен дом на семейството","да се узаконят годните за обитаване незаконни жилища, ако са единствен дом на семейството","да се узаконят,  годните за обитаване,  незаконни жилища,  ако са единствен,  дом на семейството",Да се осигурят безплатни медицински грижи за всички български граждани,"В бизнеса, който да ги квалифицира и наема (включително финансови стимули и данъчни облекчения)",Не мога да преценя,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Да,Не,Да,Mъж,Mъжe,6,1963,Неженен/неомъжена," Висше – магистър, бакалавър",Висше,Висше,Българска, , Самонает , Търговия,Експертен персонал без ръководни функции,доставка на сувенири и пощенски материали,1,0, От 1000 до 1499 лв, Столица,Столица
